Expression,Unknown,Mean_C,SD_C,N,Min,Max
a wide berth,1,2.4,1.1737877907772674,10,1,4
a wing and a prayer,1,1.9,1.1005049346146119,10,1,4
a wolf in sheep's clothing,0,1.7,0.9486832980505138,10,1,4
"a woman is only a woman, but a good cigar is a smoke",8,1.65,1.1367080817685316,20,1,5
a woman needs a man like a fish needs a bicycle,2,1.7,1.4944341180973264,10,1,5
a woman of her word,0,1.7272727272727273,0.9045340337332909,11,1,4
a woman's place is in the home,0,1.3,0.6749485577105528,10,1,3
a woman's work is never done,0,2.3,1.1595018087284057,10,1,4
a word in edgeways,0,1.2727272727272727,0.6466697906828632,11,1,3
a word to the wise,0,1.6,1.2649110640673518,10,1,5
a word to the wise is enough,2,1.3636363636363635,0.674199862463242,11,1,3
a young man's fancy,0,2.6,1.7126976771553504,10,1,5
a-flat minor,4,3,1.7638342073763937,10,1,5
a-frame house,1,3.727272727272727,1.1908743922772957,11,2,5
a-frame tent,2,4,1.247219128924647,10,2,5
a-level,0,2.9,1.5951314818673865,10,1,5
a-sharp major,1,2.7,1.5670212364724212,10,1,5
a-team,0,2.8,1.6193277068654826,10,1,5
A1,4,2.5,1.5063966175050876,14,1,5
A2 level,3,2.9,1.5238839267549948,10,1,5
abandon a sinking ship,0,1.8,0.9189365834726815,10,1,3
abandon all hope ye who enter here,0,1.8,1.4757295747452437,10,1,5
abandon ship,0,4.1,0.8755950357709131,10,3,5
abandoned infant,0,4,0.816496580927726,10,3,5
abate of,14,2.1538461538461537,1.0681880176381127,13,1,4
abatement of a nuisance,2,1.6,0.9660917830792959,10,1,4
abbreviated piece of nothing,4,1.3,0.48304589153964794,10,1,2
abdominal cavity,0,4.5,0.7071067811865476,10,3,5
abdominal muscle,0,4.2,1.2292725943057183,10,2,5
abdominal pregnancy,1,3.8,1.6193277068654826,10,1,5
abdominal quadrant,4,3.6875,1.4476993242152645,16,1,5
abdominal strap,4,4.4,0.9660917830792959,10,2,5
abdominal wall,1,4.4,1.0749676997731399,10,2,5
abdominodiaphragmatic breathing,5,3.7,1.2516655570345725,10,2,5
abdominoperineal resection,7,3.8,1.1352924243950935,10,2,5
abductor muscle,0,4.545454545454546,0.5222329678670935,11,4,5
abide by,0,2.272727272727273,1.2720777563426766,11,1,5
abide by something,1,2.3,1.4944341180973264,10,1,5
abide with me,1,2.090909090909091,1.044465935734187,11,1,4
abietic acid,1,4,1.3333333333333333,10,1,5
able and willing,0,1.4,0.699205898780101,10,1,3
able bodied,0,3.2,0.7888106377466155,10,2,4
able for,4,2.16,1.1430952132988164,25,1,5
able rating,3,2.2,1.3165611772087666,10,1,5
able seaman,1,3.1,1.3703203194062976,10,1,5
able to take a joke,0,1.9,0.9944289260117533,10,1,4
able-bodied,0,3.1,1.1005049346146119,10,2,5
abnormal psychology,1,2.6,1.2649110640673518,10,1,4
abominable snowman,0,2.9,1.1972189997378648,10,1,5
abortion pill,0,4.4,0.699205898780101,10,3,5
abortion right,0,2.909090909090909,1.6403990645294488,11,1,5
abound in,1,2.8,1.6193277068654826,10,1,5
abound in one's own sense,5,1.9285714285714286,1.2688144505364485,14,1,5
abound with,2,2,0.8944271909999159,11,1,3
about face,0,2,1.0540925533894598,10,1,4
about time,0,2,1.1547005383792515,16,1,4
about to,3,2.4,1.3498971154211057,10,1,4
about turn,3,2.5,1.35400640077266,10,1,4
about-face,0,2.5454545454545454,1.6348477827391983,11,1,5
above all,0,2.090909090909091,1.2210278829367867,11,1,5
above and beyond,0,2.272727272727273,1.4893561757289013,11,1,5
above and beyond the call of duty,1,2.1,1.286683937707919,10,1,5
above average,0,2.4,1.577621275493231,10,1,5
above board,3,3,1.7638342073763937,10,1,5
above measure,3,2.2,1.4757295747452437,10,1,5
above stealing,1,2.0833333333333335,0.7929614610987591,12,1,3
above the curve,2,1.9166666666666667,1.378954368902449,12,1,5
above the law,0,2.1,1.1972189997378648,10,1,4
above water,0,3,1.4142135623730951,11,1,5
above your pay grade,0,2.1,1.5238839267549948,10,1,5
above-the-line promotion,1,2.1,1.1005049346146119,10,1,4
abracadabra,1,1.5,0.7071067811865476,10,1,3
abrasive personality,0,1.5454545454545454,0.6875516509523286,11,1,3
absence makes the heart grow fonder,0,1.5,0.7071067811865476,10,1,3
absence makes the heart grow stronger,0,1.6,0.9660917830792959,10,1,3
absence seizure,6,3.1,1.3703203194062976,10,1,5
absence without leave,1,2.4705882352941178,1.3746657347707991,17,1,5
absent minded,0,1.5454545454545454,0.6875516509523286,11,1,3
