Expression,Unknown,Mean_C,SD_C,N,Min,Max
absent without leave,0,2.4,1.1737877907772674,10,1,4
absent-minded,0,1.8,1.3165611772087666,10,1,5
absent-mindedly,0,2.8181818181818183,1.5374122295716148,11,1,5
absent-mindedness,1,2.230769230769231,1.4232501627054275,13,1,5
absentee ballot,4,3.6,1.429840705968481,10,1,5
absentee landlord,0,3.1,0.9944289260117533,10,1,5
absentee rate,0,3.4545454545454546,1.1281521496355325,11,2,5
absentee vote,2,3.1818181818181817,1.4709304414677002,11,1,5
absinthe oil,2,4.6,0.9660917830792959,10,2,5
absolute ceiling,3,2.1,1.1005049346146119,10,1,4
absolute form,3,2.8,1.4757295747452437,10,1,5
absolute frequency,1,2.5454545454545454,1.5075567228888183,11,1,5
absolute humidity,1,2.8,1.3165611772087666,10,1,5
absolute majority,0,3,1.632993161855452,10,1,5
absolute pitch,5,2.8666666666666667,1.5976172734359604,15,1,5
absolute power corrupts absolutely,2,2.5,1.5811388300841898,10,1,5
absolute system,2,3.090909090909091,1.5782614139961386,11,1,5
absolute temperature,1,2.9,1.286683937707919,10,1,5
absolute term,0,3.0833333333333335,1.6213537179739277,12,1,5
absolute threshold,0,2.727272727272727,1.4893561757289013,11,1,5
absolute value,1,3.7,1.3374935098492586,10,1,5
absolute zero,0,3.7,1.0593499054713802,10,2,5
absolutely not,0,2.8181818181818183,1.6011359603844901,11,1,5
absorbed dose,4,3.4,1.3498971154211057,10,1,5
absorbent pad,1,4.1,0.9944289260117533,10,3,5
absorption band,3,4.1,1.1005049346146119,10,2,5
absorption cell,4,2.5,1.2692955176439846,10,1,5
absorption coefficient,4,2.5,1.7159383568311668,10,1,5
absorption factor,3,2.5454545454545454,1.3684762594679065,11,1,5
absorption indicator,2,3.8,1.5491933384829668,10,1,5
absorption spectrum,6,2.4545454545454546,1.2933395813657265,11,1,5
abstract art,0,3,1.6733200530681511,11,1,5
abstract artist,1,3.6,0.8432740427115678,10,2,5
abstract entity,4,1.5555555555555556,1.0416176459053668,18,1,5
abstract expressionism,1,1.4615384615384615,1.126601424298216,13,1,5
abstract expressionist,1,3.5454545454545454,1.2135597524338357,11,1,5
abstract idea,0,1.8,1.398411797560202,10,1,5
abstract model,0,2.6,1.0749676997731399,10,1,5
abstract music,2,1.9,1.1005049346146119,10,1,4
abstract nonsense,0,1.2727272727272727,0.6466697906828632,11,1,3
abstract noun,0,2.3,1.5670212364724212,10,1,5
abstract term,0,1.8823529411764706,1.4090046549415864,17,1,5
abstract thought,0,1.1818181818181819,0.40451991747794525,11,1,2
abstract verb,0,2.2,1.4757295747452437,10,1,5
abuse of distress,6,2.3,1.4944341180973264,10,1,5
abutment arch,4,2.9,1.66332999331662,10,1,5
abyssal zone,5,2.8,1.398411797560202,10,1,5
acacia tree,1,4.6,0.699205898780101,10,3,5
academic degree,0,3.909090909090909,1.300349603340998,11,1,5
academic freedom,0,2.9,1.1972189997378648,10,1,5
academic gown,0,4.545454545454546,0.6875516509523286,11,3,5
academic robe,0,4.363636363636363,0.674199862463242,11,3,5
academic session,0,4,0.9428090415820634,10,2,5
academic term,0,3.3,1.5670212364724212,10,1,5
academic year,0,3.2,1.3165611772087666,10,1,5
academy award,0,4.4,0.9660917830792959,10,2,5
academy awards,0,3.9,1.1972189997378648,10,2,5
accelerate off,0,2.4615384615384617,1.2659242088545832,13,1,4
accelerated graphics port,3,3.3,1.4944341180973264,10,1,5
acceleration principle,5,2.066666666666667,1.2798809468443688,15,1,5
accelerator board,2,3.6,1.1737877907772674,10,1,5
accelerator card,3,4,1.3333333333333333,10,2,5
accelerator pedal,0,4.2,1.3165611772087666,10,2,5
accent mark,0,3.2,1.4757295747452437,10,1,5
accent pillow,3,4.6,0.699205898780101,10,3,5
access code,0,4,1.247219128924647,10,1,5
access control list,2,3.5,1.4337208778404378,10,1,5
access course,5,2.8181818181818183,1.5374122295716148,11,1,5
access number,0,4.1,0.8755950357709131,10,3,5
access panel,1,4.631578947368421,0.5972647203701474,19,3,5
access profile,1,3,1.247219128924647,10,1,5
access provider,0,2.8,1.398411797560202,10,1,5
access road,0,4.6,0.699205898780101,10,3,5
access route,0,3.5454545454545454,1.4396969378057567,11,1,5
access time,1,2,1.0540925533894598,10,1,4
accessory after the fact,0,2.6,1.2649110640673518,10,1,5
accessory before the fact,5,2.1818181818181817,1.4012980994907414,11,1,5
accessory fruit,5,3.6,1.429840705968481,10,1,5
accessory nerve,4,3.9,1.286683937707919,10,2,5
accident and emergency,0,3.3,1.1595018087284057,10,1,5
accident of birth,1,2,1.247219128924647,10,1,4
accident prone,0,2.411764705882353,1.2776356840572631,17,1,5
accident surgery,0,2.8,1.4757295747452437,10,1,5
accident waiting to happen,0,2.3636363636363638,1.2862913567871994,11,1,5
accident-prone,0,2.4,1.577621275493231,10,1,5
accidental death,0,3.2,1.7511900715418263,10,1,5
accidental injury,1,3,1.5634719199411433,10,1,5
accidentally on purpose,0,1.7,1.3374935098492586,10,1,5
accidents will happen,0,2.6,1.1737877907772674,10,1,5
accommodation centre,1,3.4545454545454546,1.5075567228888183,11,1,5
accommodation ladder,0,3.1818181818181817,1.6011359603844901,11,1,5
accomodate requirements,1,2.090909090909091,1.044465935734187,11,1,4
accompanied baggage,2,3.5454545454545454,1.572490786213793,11,1,5
accomplished fact,0,2.7,0.9486832980505138,10,1,4
accord and satisfaction,4,1.8,1.3165611772087666,10,1,5
accord with,1,2.4,0.8432740427115678,10,1,3
according as,3,2.1,1.1005049346146119,10,1,4
according to,0,2.1,1.5951314818673865,10,1,5
accordion door,3,3.7,1.5670212364724212,10,1,5
account book,0,4.3,1.2516655570345725,10,1,5
account executive,0,4,1.4142135623730951,10,1,5
account for,0,3.9,1.3703203194062976,10,1,5
account holder,0,4.090909090909091,0.7006490497453707,11,3,5
account name,0,3.6,1.2649110640673518,10,1,5
account payable,1,3.6,1.0749676997731399,10,2,5
account receivable,1,3.0625,1.181453906563152,16,1,5
account statement,0,4.545454545454546,0.6875516509523286,11,3,5
accounting firm,0,3.9,1.286683937707919,10,1,5
accounting package,1,3.1818181818181817,1.3280197150781925,11,1,5
accounts payable,0,2.3,1.4181364924121764,10,1,5
accounts receivable,0,3.5833333333333335,1.5642792899510294,12,1,5
accredit with,0,1.8,0.9189365834726815,10,1,4
accrual basis,14,2.8125,1.3275918047351754,16,1,5
accumulation point,5,3.4,1.505545305418162,10,1,5
accusative case,3,2.4,1.505545305418162,10,1,5
accused of,1,2,1.3333333333333333,10,1,5
accustom to,1,2.1818181818181817,1.2504544628399563,11,1,4
accustomed to,0,2.2,1.3165611772087666,10,1,5
ace a test,1,2.8,1.398411797560202,10,1,5
ace in the hole,1,2.4545454545454546,1.2135597524338357,11,1,5
ace it,0,2.1,1.1972189997378648,10,1,4
ace of clubs,0,3.7,1.4181364924121764,10,1,5
ace of diamond,1,4.1,1.286683937707919,10,1,5
ace of diamonds,0,4.2,1.3165611772087666,10,1,5
ace of hearts,0,4.4,0.8432740427115678,10,3,5
ace of spades,0,3.4,1.6465452046971292,10,1,5
ace up one's sleeve,0,2,1.0540925533894598,10,1,4
ace up the sleeve,0,2.5833333333333335,1.5050420310248864,12,1,5
ace up your sleeve,0,2.4166666666666665,1.6213537179739277,12,1,5
acerate leaf,11,3.5,1.8829377433825436,12,1,5
acetate disk,5,3.9,1.1005049346146119,10,2,5
acetic acid,1,4.2,1.3165611772087666,10,1,5
acetyl group,2,3.6,1.577621275493231,10,1,5
acetyltannic acid,1,4.8,0.6324555320336759,10,3,5
ache for,0,1.7,1.0593499054713802,10,1,4
ache over,0,1.6923076923076923,0.8548504142651103,13,1,3
achieve a performance,0,3.090909090909091,1.3751033019046572,11,1,5
achieve success,0,2.6,1.1737877907772674,10,1,5
achilles heel,0,1.3,0.48304589153964794,10,1,2
achilles tendon,0,3.9,1.5238839267549948,10,1,5
achilles' heel,0,2.8,1.8135294011647258,10,1,5
achromatic color,6,3.5,1.4337208778404378,10,1,5
achromatic colour,2,3.5,1.35400640077266,10,1,5
achromatic lens,4,4.2727272727272725,1.2720777563426766,11,1,5
achromatic vision,7,3.611111111111111,1.1950332945836273,18,1,5
acid house,7,3.4,1.2649110640673518,10,1,5
acid jazz,3,3.1,1.3703203194062976,10,1,5
acid of apples,5,3.7,0.9486832980505138,10,2,5
acid rain,1,4,0.7559289460184544,15,3,5
acid rock,2,4.1,0.7378647873726218,10,3,5
acid taste,1,3.5,1.4337208778404378,10,2,5
acid test,2,3.8181818181818183,0.9816498172140428,11,2,5
ackee tree,7,4.5,1.2692955176439846,10,1,5
acknowledge the corn,6,2.272727272727273,1.555050423035156,11,1,5
acne cover,0,4.1,1.1005049346146119,10,2,5
acne pimple,0,4.1,0.9944289260117533,10,3,5
acne rosacea,3,4.4,0.9660917830792959,10,2,5
acorn nut,0,4.7,0.6749485577105528,10,3,5
acorn squash,1,4.5,0.7071067811865476,10,3,5
acoustic buoy,3,4.090909090909091,1.2210278829367867,11,2,5
acoustic coupler,6,2.6,1.0749676997731399,10,1,4
acoustic emission,5,2.7,1.4181364924121764,10,1,5
acoustic guitar,0,5,0,10,5,5
acoustic nerve,6,2.7,1.4944341180973264,10,1,5
acoustic power,3,3.2,1.2292725943057183,10,1,5
acoustic resistance,2,2.8181818181818183,1.3280197150781925,11,1,5
acoustic spectrum,8,3.2777777777777777,1.4473324572571657,18,1,5
acoustic velocity,2,2.8181818181818183,1.662418829187267,11,1,5
acoustic wave,0,2.727272727272727,1.4206272622267313,11,1,5
acquaintance rape,5,3.6,1.505545305418162,10,1,5
acquired immune deficiency syndrome,0,3.8,1.4757295747452437,10,1,5
acquired taste,1,2.5,1.0801234497346435,10,1,4
acquit oneself,2,1.9,1.1005049346146119,10,1,4
acronyms,1,2,1.3333333333333333,10,1,5
across from,1,3.25,1.4847711791873706,12,1,5
across the board,1,1.9,1.286683937707919,10,1,5
across the country,0,2.75,1.0552897060221726,12,1,4
across the line,0,2.5454545454545454,1.2135597524338357,11,1,5
across the nation,0,2.9,1.5238839267549948,10,1,5
across the pond,0,3.3636363636363638,1.2060453783110545,11,2,5
across-the-board,0,1.4,0.9660917830792959,10,1,4
acrylic acid,1,4,1.4142135623730951,11,1,5
acrylic fiber,0,4.8,0.4216370213557839,10,4,5
act as,0,1.8181818181818181,1.4012980994907414,11,1,5
act for,2,2.6363636363636362,1.2862913567871994,11,1,5
act high-and-mighty,0,1.7,1.0593499054713802,10,1,4
act of congress,0,2.3076923076923075,1.4935759876113537,13,1,5
act of contrition,1,1.7,1.0593499054713802,10,1,4
act of faith,1,1.9,1.449137674618944,10,1,5
act of god,0,2.5,1.243163121016122,12,1,5
act of terror,0,3.4,1.429840705968481,10,1,5
act of terrorism,1,3.4,1.0749676997731399,10,1,5
act on,0,2.5,1.4337208778404378,10,1,5
act one's age,0,2,1.4907119849998598,10,1,5
act out,0,2.9,1.66332999331662,10,1,5
act reflexively,0,2.3,0.8232726023485646,10,1,4
act superior,0,2.6,0.8432740427115678,10,1,4
act the giddy goat,5,2.3,1.5670212364724212,10,1,5
act the part,0,3.3,1.0593499054713802,10,1,4
act up,0,2.3,1.3374935098492586,10,1,5
act upon,0,2.909090909090909,1.5782614139961386,11,1,5
act your age,2,1.7,1.2516655570345725,10,1,5
acting out,1,2,1.1547005383792515,10,1,4
acting up,0,2.5,1.4337208778404378,10,1,5
action figure,0,4.7,0.9486832980505138,10,2,5
action film,0,4.25,1.2154310870109943,12,1,5
action group,3,2.7,0.9486832980505138,10,1,4
action man,1,3.2,1.6865480854231356,10,1,5
action mechanism,3,2.7,1.0593499054713802,10,1,4
action movie,0,3.9,0.9944289260117533,10,2,5
action officer,4,3.5,0.97182531580755,10,2,5
action painting,0,2.8,1.7511900715418263,10,1,5
action plant,4,2.9,1.1972189997378648,10,1,5
action point,2,2.4545454545454546,1.2933395813657265,11,1,5
action potential,1,1.7,0.6749485577105528,10,1,3
action replay,0,3.8,1.2292725943057183,10,2,5
action research,0,2.8,1.398411797560202,10,1,5
action stations,7,2.5,1.35400640077266,10,1,5
action verb,0,2,1.0954451150103321,11,1,4
actions speak louder than words,0,1.5,0.7071067811865476,10,1,3
active agent,2,2.9,1.5238839267549948,10,1,5
active birth,0,3.1,1.5238839267549948,10,1,5
active duty,0,3,1.2649110640673518,11,1,5
active galactic nucleus,7,3.272727272727273,1.7372915179041823,11,1,5
active immunity,0,3.272727272727273,1.2720777563426766,11,1,5
active ingredient,0,3.5,1.0801234497346435,10,2,5
active list,3,3.1818181818181817,0.873862897505303,11,2,5
active placebo,0,2.909090909090909,1.3751033019046572,11,1,5
active service,1,2.8,1.3165611772087666,10,1,5
active voice,0,3.3,1.3374935098492586,10,1,5
active window,3,3.6,1.3498971154211057,10,1,5
activist judge,1,3.8,1.0327955589886444,10,2,5
activist justice,0,2,0.9428090415820634,10,1,4
activity holiday,0,2.9,1.3703203194062976,10,1,5
actor agent,1,4.3,0.8232726023485646,10,3,5
acts of god,0,2.1,1.1972189997378648,10,1,4
actual bodily harm,0,3.4,1.3498971154211057,10,1,5
actual eviction,3,3.2,1.3165611772087666,10,1,5
actuarial table,2,3.5,1.0801234497346435,10,2,5
acute accent,3,2.909090909090909,1.7002673586554236,11,1,5
acute angle,0,3.75,1.390443574307614,16,1,5
acute glaucoma,2,4.1,0.8755950357709131,10,3,5
acute kidney failure,0,3.1,1.5238839267549948,10,1,5
acute triangle,1,3.5,1.509230856356236,10,1,5
ad agency,1,3.4,1.1737877907772674,10,1,5
ad campaign,0,2.8,1.2292725943057183,10,1,4
ad hoc,1,2.5,1.35400640077266,10,1,5
ad hominem,3,3,1.8257418583505538,10,1,5
ad infinitum,5,1.4,0.9660917830792959,10,1,4
ad lib,3,2.7,1.636391694484477,10,1,5
ad libitum,13,2.375,1.2583057392117916,16,1,5
ad libs,2,2.4545454545454546,1.3684762594679065,11,1,4
ad page,0,3.5,1.5811388300841898,10,1,5
ad valorem,3,2.4,1.577621275493231,10,1,5
ad-hoc polymorphism,7,3.2,1.4757295747452437,10,1,5
ad-lib,3,3.2666666666666666,1.3870146083619754,15,1,5
adam and eve,1,2.8,1.6865480854231356,10,1,5
adam's apple,0,4.7272727272727275,0.46709936649691375,11,4,5
adaptive optics,3,3.7142857142857144,1.4373357526806554,14,1,5
add bonus,1,3,1.0540925533894598,10,1,5
add fuel to the fire,0,3.1,1.5951314818673865,10,1,5
add fuel to the flames,0,2.2,1.5491933384829668,10,1,5
add in,0,2.6666666666666665,1.556997888323046,12,1,5
add insult to injury,2,1.3636363636363635,0.504524979109513,11,1,2
add on,0,2.6363636363636362,1.433368568981982,11,1,5
add on to,0,2.6,1.2649110640673518,10,1,5
add to,0,2.7,1.2516655570345725,10,1,4
add together,0,3.1,1.5951314818673865,10,1,5
add up,1,2.6363636363636362,1.5015143870590966,11,1,5
add up to,0,2.4,1.505545305418162,10,1,5
addams family,1,4.1,1.286683937707919,10,1,5
added value,0,2.5,1.5811388300841898,10,1,5
adder's mouth,6,3.7,1.4181364924121764,10,1,5
adder's tongue,4,3.5,0.8498365855987975,10,2,5
adding machine,2,4.066666666666666,1.3345232785352157,15,1,5
addition reaction,2,3.2,1.4757295747452437,10,1,5
addition sign,0,3.6,1.3498971154211057,10,2,5
additive group,3,3.090909090909091,1.2210278829367867,11,1,5
additive inverse,7,1.9090909090909092,1.044465935734187,11,1,4
address bar,1,3.8181818181818183,1.3280197150781925,11,1,5
address book,0,4.181818181818182,1.4012980994907414,11,1,5
adductor muscle,0,4.6,0.699205898780101,10,3,5
adenosine triphosphate,3,3.4,1.6465452046971292,10,1,5
adequate to,0,2.090909090909091,1.513574937328539,11,1,5
adhere to,0,2.1818181818181817,0.9816498172140428,11,1,4
adhesion contract,7,2.727272727272727,1.1037127426019047,11,1,4
adhesive agent,0,3.6363636363636362,1.2060453783110545,11,1,5
adhesive bandage,0,4.5,0.8498365855987975,10,3,5
adhesive material,0,3.9,1.286683937707919,10,1,5
adhesive tape,0,4.8,0.6324555320336759,10,3,5
adirondack chair,4,4.3,0.6749485577105528,10,3,5
adjacent angle,2,3.727272727272727,1.555050423035156,11,1,5
adjacent to,0,2.4,1.577621275493231,10,1,5
adjectival group,1,2.1,1.3703203194062976,10,1,4
adjective group,3,2.5454545454545454,1.3684762594679065,11,1,5
adjoining room,0,4.2,1.2292725943057183,10,1,5
adjourn to,2,2.3636363636363638,1.026910636104941,11,1,4
adjustable spanner,3,4.1,1.3703203194062976,10,1,5
adjustable wrench,0,4.3,1.3374935098492586,10,1,5
adjusting entry,0,2.3636363636363638,1.5015143870590966,11,1,5
adjutant general,1,3.2,1.3165611772087666,10,1,5
adjutants general,3,3.5,1.35400640077266,10,1,5
administrative assistant,0,4.4,1.0749676997731399,10,2,5
administrative official,0,4.052631578947368,1.1290942392774796,19,1,5
administrative unit,3,3.9,0.9944289260117533,10,3,5
admiral of the fleet,0,3.4,1.776388345929897,10,1,5
admiral's cup,8,3.4615384615384617,1.3913653136029502,13,1,5
admiralty law,7,2.6,1.1737877907772674,10,1,4
admission charge,0,3.7,1.1595018087284057,10,1,5
admission day,0,3.1818181818181817,1.5374122295716148,11,1,5
admission fee,0,3.5,1.2692955176439846,10,1,5
admit of,1,2.2,1.6193277068654826,10,1,5
admit to,1,2.2,1.398411797560202,10,1,5
adobe house,8,4.1,1.286683937707919,10,2,5
adoption agency,1,4.1,1.1005049346146119,10,2,5
adoptive father,0,4.2727272727272725,0.9045340337332909,11,2,5
adoptive mother,0,4.5,0.8498365855987975,10,3,5
adoptive parent,0,4.2,0.7888106377466155,10,3,5
adrenal gland,1,3.8,1.398411797560202,10,1,5
adrenaline junkie,1,3.4,1.3498971154211057,10,1,5
adsorbent material,2,3.3,1.4181364924121764,10,1,5
aduki bean,2,4.5,0.5270462766947299,10,4,5
adult body,0,4.7272727272727275,0.46709936649691375,11,4,5
adult education,0,3.5,1.1785113019775793,10,2,5
adult female,0,4.6,0.9660917830792959,10,2,5
adult intelligence,0,2.8,1.4757295747452437,10,1,5
adult life,0,2.2,1.6865480854231356,10,1,5
adult male,0,4.5,1.0801234497346435,10,2,5
adult male body,0,4.3,1.2516655570345725,10,1,5
adult third culture kids,2,2.8,1.1352924243950935,10,1,5
adult tooth,0,4.583333333333333,0.6685579234215214,12,3,5
advance cheque,1,3,1.5634719199411433,10,1,5
advance directive,6,2.8181818181818183,0.9816498172140428,11,2,5
advance guard,1,2.4,1.1737877907772674,10,1,4
advance look,3,3,1.4832396974191326,11,1,5
advance poll,3,3,1.1547005383792515,10,1,5
advance warning,0,2.7,0.6749485577105528,10,2,4
advanced degree,1,3.1818181818181817,1.2504544628399563,11,1,5
advanced guard,1,3,1.5491933384829668,11,1,5
advanced higher,1,2.6,1.1737877907772674,10,1,4
advanced in years,0,2.8,1.3165611772087666,10,1,5
advanced level,0,2.4545454545454546,0.9341987329938275,11,1,4
advanced placement,1,3.090909090909091,0.9438798074485389,11,1,4
advanced subsidiary level,3,2.9,1.3703203194062976,10,1,5
advent calendar,0,3.5,1.35400640077266,10,1,5
advent sunday,0,2.9,1.449137674618944,10,1,5
adventure education,4,1.9,0.8755950357709131,10,1,3
adventure game,0,3.8,1.2292725943057183,10,2,5
adventure holiday,0,2.9,1.3703203194062976,10,1,5
adventure playground,0,4.3,0.9486832980505138,10,2,5
adventure story,0,3.1,1.3703203194062976,10,1,5
adventure tour,0,3.1818181818181817,1.3280197150781925,11,1,5
adventure travel,1,3.8181818181818183,1.3280197150781925,11,2,5
adverb group,0,2.6363636363636362,1.747725795010606,11,1,5
adverb phrase,1,2.1818181818181817,1.3280197150781925,11,1,5
adverbial group,4,2.2,1.398411797560202,10,1,4
adverbial particle,3,3.2,1.6193277068654826,10,1,5
adversarial system,1,1.8181818181818181,1.4709304414677002,11,1,5
adverse opinion,2,2,1.3333333333333333,10,1,5
adverse witness,3,3.5,1.4337208778404378,10,1,5
adversity makes strange bedfellows,0,1.9,1.1005049346146119,10,1,4
advertising agency,0,2.5,1.0801234497346435,10,1,4
advertising campaign,0,3.4545454545454546,1.0357254813546264,11,1,5
advertising department,0,3.2,1.398411797560202,10,1,5
advertising firm,0,3.5454545454545454,1.572490786213793,11,1,5
advice and consent,0,2.8,1.4757295747452437,10,1,5
advice boat,6,3.2,1.5491933384829668,10,1,5
advice column,0,3.9,1.1005049346146119,10,2,5
advice columnist,0,3.7,1.636391694484477,10,1,5
advice line,1,2.7,1.5670212364724212,10,1,5
advisory board,2,3.7,1.0593499054713802,10,2,5
advisory opinion,0,2.4375,1.3149778198382918,16,1,5
advisory service,0,3.6,1.0749676997731399,10,2,5
advocacy group,0,4,1.3333333333333333,10,1,5
aerial cableway,1,4.2,1.0327955589886444,10,2,5
aerobic respiration,1,3.9,1.449137674618944,10,1,5
aerodynamic lift,1,4.2,0.7888106377466155,10,3,5
