Expression,Type
population profile,Compound noun
populist party,Compound noun
porcelain bus,Compound noun
porcelain clay,Compound noun
porcelain figurine,Compound noun
porcelain spoon,Compound noun
porcelain vase,Compound noun
porch railing,Compound noun
porch swing,Compound noun
porcupine ball,Compound noun
porcupine fish,Compound noun
porfimer sodium,Compound noun
pork barrel,Compound noun
pork belly,Compound noun
pork blood pudding,Compound noun
pork butcher,Compound noun
pork chop,Compound noun
pork chops,Compound noun
pork dumplings,Compound noun
pork loin,Compound noun
pork medallion,Compound noun
pork pie,Compound noun
pork pie hat,Compound noun
pork pies,Compound noun
pork rind,Compound noun
pork roast,Compound noun
pork sandwich,Compound noun
pork sausage,Compound noun
pork scratchings,Compound noun
pork suet,Compound noun
pork sword,Compound noun
pork tenderloin,Compound noun
porkpie hat,Compound noun
porky pie,Compound noun
porky pies,Compound noun
porn merchant,Compound noun
porn star,Compound noun
porn web video,Compound noun
porphyritic rock,Compound noun
port authority,Compound noun
port louis,Compound noun
port watcher,Compound noun
port wine,Compound noun
port wine stain,Compound noun
port-wine stain,Compound noun
portable computer,Compound noun
portable executable,Compound noun
portable saw,Compound noun
portable toilet,Compound noun
portal site,Compound noun
portal system,Compound noun
portal tomb,Compound noun
portal vein,Compound noun
portative organ,Compound noun
porter beer,Compound noun
porterhouse steak,Compound noun
portfolio worker,Compound noun
portfolio working,Compound noun
portmanteau word,Compound noun
portobello mushroom,Compound noun
portrait camera,Compound noun
portrait lens,Compound noun
portrait painter,Compound noun
pos tagger,Compound noun
position argument,Compound noun
position audit,Compound noun
position effect,Compound noun
position paper,Compound noun
positive correlation,Compound noun
positive degree,Compound noun
positive discrimination,Compound noun
positive edge,Compound noun
positive feedback,Compound noun
positive identification,Compound noun
positive pole,Compound noun
positive vetting,Compound noun
positron emission tomography,Compound noun
possessive case,Compound noun
possessive pronoun,Compound noun
possible action,Compound noun
possum belly,Compound noun
post bellum,Compound noun
post box,Compound noun
post card,Compound noun
post chaise,Compound noun
post code,Compound noun
post doc,Compound noun
post exchange,Compound noun
post facto,Compound noun
post game,Compound noun
post haste,Compound noun
post hinge,Compound noun
post hoc,Compound noun
post hole,Compound noun
post hole digger,Compound noun
post horse,Compound noun
post house,Compound noun
post it,Compound noun
post it notes,Compound noun
post meridian,Compound noun
post meridiem,Compound noun
post mortem,Compound noun
post mortem examination,Compound noun
post oak,Compound noun
firm offer,Compound noun
first offender,Compound noun
post partum,Compound noun
post pubescent,Compound noun
post road,Compound noun
post room,Compound noun
post-hole digger,Compound noun
post-it note,Compound noun
post-judgement day,Compound noun
post-mortem examination,Compound noun
post-natal depression,Compound noun
first officer,Compound noun
post-partum depression,Compound noun
post-traumatic stress disorder,Compound noun
postage meter,Compound noun
postage stamp,Compound noun
postal address,Compound noun
postal ballot,Compound noun
postal card,Compound noun
postal clerk,Compound noun
postal code,Compound noun
postal order,Compound noun
postal service,Compound noun
postal vote,Compound noun
postal worker,Compound noun
postcode lottery,Compound noun
poste restante,Compound noun
poster board,Compound noun
poster boy,Compound noun
poster child,Compound noun
poster color,Compound noun
poster colour,Compound noun
poster girl,Compound noun
poster paint,Compound noun
posterior chamber,Compound noun
postfix notation,Compound noun
postgraduate studies,Compound noun
posthole digger,Compound noun
posthypnotic amnesia,Compound noun
postmaster general,Compound noun
postmasters general,Compound noun
postmortem examination,Compound noun
postnatal depression,Compound noun
postpartum depression,Compound noun
pot bellied pig,Compound noun
pot cheese,Compound noun
pot farm,Compound noun
pot holder,Compound noun
pot hole,Compound noun
pot liquor,Compound noun
pot luck,Compound noun
pot marjoram,Compound noun
pot metal,Compound noun
pot pie,Compound noun
pot plant,Compound noun
pot pourri,Compound noun
pot roast,Compound noun
pot shot,Compound noun
potassium bitartrate,Compound noun
potassium chloride,Compound noun
potassium dichromate,Compound noun
potassium hydroxide,Compound noun
potassium iodide,Compound noun
potassium nitrate,Compound noun
potassium permanganate,Compound noun
potato bean,Compound noun
potato blight,Compound noun
potato bug,Compound noun
potato cake,Compound noun
potato casserole,Compound noun
potato chaser,Compound noun
potato chip,Compound noun
potato chips,Compound noun
potato crisp,Compound noun
potato disease,Compound noun
potato latkes,Compound noun
potato masher,Compound noun
potato nose,Compound noun
potato pancake,Compound noun
potato peel,Compound noun
potato peeler,Compound noun
potato race,Compound noun
potato ricer,Compound noun
potato sack,Compound noun
potato salad,Compound noun
potato skin,Compound noun
potato slice,Compound noun
potato soup,Compound noun
potato tuberworm,Compound noun
potato vine,Compound noun
potato wart,Compound noun
potato wedge,Compound noun
potbellied pig,Compound noun
potbellied stove,Compound noun
potbelly stove,Compound noun
potential difference,Compound noun
potential drop,Compound noun
potential energy,Compound noun
potential unit,Compound noun
potluck,Compound noun
potluck supper,Compound noun
potted plant,Compound noun
potter,Compound noun
potter clay,Compound noun
potter earth,Compound noun
potter field,Compound noun
potter wasp,Compound noun
potter wheel,Compound noun
potter's clay,Compound noun
potter's field,Compound noun
potter's rot,Compound noun
potter's wheel,Compound noun
potting bench,Compound noun
potting compost,Compound noun
potting shed,Compound noun
potting soil,Compound noun
potty chair,Compound noun
potty seat,Compound noun
potty trained,Compound noun
potty training,Compound noun
pouched mammal,Compound noun
pouched rat,Compound noun
pouf paste,Compound noun
poultry shears,Compound noun
pound cake,Compound noun
pound coin,Compound noun
pound dumbbell,Compound noun
pound key,Compound noun
pound net,Compound noun
pound note,Compound noun
pound sign,Compound noun
pound sterling,Compound noun
pounds sterling,Compound noun
powdered ginger,Compound noun
powdered milk,Compound noun
powdered sugar,Compound noun
power adapter,Compound noun
power ball,Compound noun
power base,Compound noun
power board,Compound noun
power boat,Compound noun
power brake,Compound noun
power brakes,Compound noun
power broker,Compound noun
power cable,Compound noun
power chord,Compound noun
power company,Compound noun
power cord,Compound noun
power drill,Compound noun
power generation,Compound noun
power generator,Compound noun
power grid,Compound noun
power hammer,Compound noun
power line,Compound noun
power lines,Compound noun
power loading,Compound noun
power loom,Compound noun
power meter,Compound noun
power mower,Compound noun
roof of the mouth,Idiom/Fixed expression
power pack,Compound noun
power plant,Compound noun
power play,Compound noun
power plug,Compound noun
power plug adapter,Compound noun
power point,Compound noun
power politics,Compound noun
power pop,Compound noun
power ranger,Compound noun
power saw,Compound noun
power seat,Compound noun
power service,Compound noun
power sharing,Compound noun
power shovel,Compound noun
power shower,Compound noun
power socket,Compound noun
power source,Compound noun
power station,Compound noun
power steering,Compound noun
power strip,Compound noun
power structure,Compound noun
power struggle,Compound noun
power supply,Compound noun
power surge protector,Compound noun
power switch,Compound noun
power system,Compound noun
flag officer,Compound noun
power tap,Compound noun
power tool,Compound noun
power top,Compound noun
power train,Compound noun
power transmission,Compound noun
power unit,Compound noun
power vacuum,Compound noun
power walk,Compound noun
power walking,Compound noun
power worker,Compound noun
power yoga,Compound noun
power-assisted steering,Compound noun
power-associative algebra,Compound noun
power-station worker,Compound noun
powerpoint presentation,Compound noun
practical application,Compound noun
practical joke,Compound noun
practical joker,Compound noun
practical nurse,Compound noun
practice game,Compound noun
practice session,Compound noun
practice teacher,Compound noun
praetorian guard,Compound noun
pragmatic sanction,Compound noun
prairie dock,Compound noun
prairie dog,Compound noun
prairie fire,Compound noun
prairie fox,Compound noun
prairie grass,Compound noun
prairie mallow,Compound noun
prairie oyster,Compound noun
prairie oysters,Compound noun
prairie rattler,Compound noun
prairie rocket,Compound noun
prairie schooner,Compound noun
prairie soil,Compound noun
prairie sunflower,Compound noun
prairie vole,Compound noun
prairie wagon,Compound noun
prairie wolf,Compound noun
prank call,Compound noun
prawn cocktail,Compound noun
prawn cracker,Compound noun
prayer beads,Compound noun
prayer book,Compound noun
prayer carpet,Compound noun
prayer mat,Compound noun
prayer meeting,Compound noun
prayer rug,Compound noun
prayer shawl,Compound noun
prayer wheel,Compound noun
praying mantid,Compound noun
praying mantis,Compound noun
pre-emptive strike,Compound noun
prebiotic organic synthesis,Compound noun
precinct house,Compound noun
precious gem,Compound noun
precious metal,Compound noun
precious stone,Compound noun
precipitable water,Compound noun
precision fire,Compound noun
precision instrument,Compound noun
precision rifle,Compound noun
precision tool,Compound noun
